Target return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0.055,0.0135635,-0.0117684,-0.00570437,0.0104287,-0.00210437,0.022838,-0.0129305,0.0823042,-0.00683741,0.00997528,0.0607725,0.00178214,0.0121846,-0.00079279,-0.00815789,-0.00657876,-0.0113262,-0.0169293,0.0854845,0.0811392,-0.0246896,0.00922091,-0.0166195,-0.0457608,0.0768248,0.00963771,0.0127016,-0.024776,0.0520111,0.0327663,0.0117041,-0.0241705,0.0131703,0.00274514,0.0709147,0.0834641,0.00614903,0.00335991,0.061556,0.00874305,-0.0107342,0.0346471,0.036762,-0.0253676,-0.0297932,0.0285705,-0.00668353,0.0537479,0.00040997,-0.0628369
0.06,-0.11655,0.0267099,0.0197694,0.0294968,-0.0141731,-0.00649171,0.0289148,-0.017189,0.0135916,-0.0310359,0.0150649,0.00836267,0.0109944,-0.0397638,0.0159559,0.0530913,0.0492242,-0.0102265,0.0391274,0.0363193,-0.0194195,0.0412188,-0.00539288,-0.0165223,-0.0367863,-0.0206594,0.120319,0.0790567,0.108726,-0.0526274,0.0167733,-0.0410491,0.0293598,0.0612764,0.0115408,0.0116611,0.00205419,0.0443615,0.0165822,-0.0126313,-0.0088236,0.00297458,0.0335171,0.0605541,0.053334,0.00547509,-0.000169696,0.0498447,0.0256035,-0.00850686
0.065,0.0597666,0.0268508,0.0181728,-0.0219703,-0.0234354,0.0134095,0.0711292,-0.0561735,-0.0386147,-0.0478721,0.00183321,0.0272557,0.0131342,-0.0157751,0.0278453,-0.0228257,-0.00211373,0.00215194,0.0081343,-0.00994586,-0.00427875,0.0165534,-0.0211616,-0.00671109,0.0908224,0.0363482,-0.0535743,0.0833442,0.0803194,-0.0171669,0.0351098,-0.00970965,0.00304302,-0.0323679,-6.42704e-05,0.0587178,0.0831729,0.171476,-0.0425921,-0.0125999,-0.0526543,0.0321466,0.00972938,0.0330029,-0.0257279,0.0359095,0.0674014,0.0232368,-0.00640249,0.0128508
0.07,0.00754911,0.0496217,0.0766229,-0.0358753,0.0107877,0.0361559,0.0404826,-0.0042734,-0.00612496,0.0881036,-0.0339483,0.0210372,0.0112137,-0.116223,0.045211,0.137214,-0.1014,-0.136342,0.0216781,0.00520212,0.0556315,-0.0280184,-0.0423405,0.0569265,-0.0389449,0.000333456,0.0242969,-0.0184268,-0.0113602,0.0009947,0.00714193,0.0402365,-0.0210296,0.10218,-0.0137408,0.0118594,0.0908256,0.00298454,0.00651578,-0.00867689,-0.00147746,-0.0220456,-0.0237979,-0.0192921,0.133628,0.14714,-0.0309119,0.0112257,-0.0177465,-0.0478086
0.075,0.099113,0.0379817,0.0287361,-0.0351219,0.0636481,0.0558092,0.0203798,-0.0261155,0.0304384,-0.00285731,0.0797388,0.112398,0.00243353,-0.00125942,0.0776202,0.00492004,-0.0169536,0.0421665,0.0821056,-0.0362158,-0.0451133,0.0332315,0.00957869,0.0734063,-0.00231232,-0.0855247,-0.156203,0.0301927,0.0223171,0.0410582,-0.0244344,-0.0146935,0.0292202,-0.0211402,0.0111311,-0.0397789,-0.00440945,-0.00602001,-0.00181186,-0.0631743,0.026224,0.071885,0.0683957,-0.0153011,0.0514747,0.0476983,-0.0180621,0.0347955,0.0026274,-0.0166517
0.08,-0.0575577,-0.0159544,0.166531,0.131315,0.15299,-0.0658363,0.00531825,-0.0973462,0.0674368,0.0848779,0.0274575,0.0136215,-0.00789476,0.056858,0.0244354,-0.00766383,-0.00495697,-0.00161541,0.0311773,0.0645938,0.06253,0.00530924,-0.00133843,0.0642212,0.0441546,-0.0131536,0.068871,0.0464654,0.0449161,-0.0165143,-0.0559415,-0.0114266,0.0850941,-0.120586,-0.0292401,-0.0561021,0.0212356,0.0287953,0.027135,-0.0123514,0.0224466,-0.0233016,-0.00254623,0.00366502,0.00826659,-0.0170951,-0.0058075,-0.00641904,-0.0297226,-0.00069612
0.085,0.10332,0.0567804,-0.0584473,0.112112,0.110032,-0.0419333,0.0285828,-0.010593,0.00854799,-0.0467609,-0.00264094,0.102318,0.155135,0.164631,-0.0603974,-0.0155993,-0.0774957,0.0695346,0.0147328,0.0470175,-0.0538142,0.0342081,0.0843127,0.034497,-0.00541533,0.0279816,0.0122236,0.0615098,0.095953,-0.0511139,0.0247068,0.0428011,0.0619728,-0.00157712,-0.0162366,0.104149,-0.0283346,0.0295509,0.0494896,-0.142322,0.0655048,0.166223,-0.175191,-0.145744,0.0426838,-0.00324464,0.0758102,-0.0303815,-0.047347,0.0619208
0.09,-0.0490402,0.00612673,0.0224705,-0.0311845,-0.0282637,-0.00632711,-0.000958581,0.0318243,-0.0203091,0.117974,-0.015758,0.0168847,0.110343,-0.00321501,-0.00451356,-0.00557321,-0.00246536,-0.026259,-0.0227565,0.000984381,0.178629,0.143743,-0.0471231,0.0234636,-0.0500219,-0.0497125,0.139092,0.0317533,0.0224099,-0.0543799,0.0677021,0.0553193,0.0302703,-0.0316679,0.0474256,-0.0144075,0.0997132,0.138146,0.00248444,0.00100907,0.100509,0.0180428,-0.0156531,0.0498679,0.109046,-0.0421228,-0.0456227,0.0514817,0.00619237,0.0643394
0.095,-0.0462056,-0.0991953,-0.204265,0.0599294,0.0368393,0.0589462,-0.034257,-0.0152631,0.0395637,-0.0257,0.013185,-0.0642489,-0.00503141,-0.00419118,0.0135341,-0.084455,0.0398401,0.0904539,0.0845005,-0.0220451,0.0725781,0.0385261,-0.0316811,0.0185982,0.00749465,-0.0255384,-0.0763132,-0.0345202,0.189951,0.17063,0.166706,-0.0676768,0.0040985,-0.126384,0.0785788,0.099552,0.0361488,-0.00439565,-0.0129686,0.0526176,0.0301305,0.000188774,-0.0136129,0.00258095,0.0196844,0.0810075,0.0710875,0.0237693,-0.00989809,0.0845317
0.1,0.0498655,-0.0143933,0.0684092,0.11544,0.0680682,-0.0233442,-0.0652392,-0.0448291,0.131499,-0.144809,-0.0299228,-0.0825498,0.037533,0.0455914,0.0369487,-0.0184704,0.038724,-0.0401758,-0.00203746,0.00658168,0.0115132,-0.0242396,-0.0146493,0.000541141,-0.0271115,0.0125265,0.11692,0.0644543,-0.0696837,0.119366,0.126012,-0.0401321,0.0281164,-0.0211277,0.0143184,-0.0662913,-0.0275728,0.126201,0.152537,0.150148,-0.0348961,-0.0179375,-0.105892,0.0807847,0.0105677,0.0686909,-0.064595,0.0397989,0.0919455,0.035816
