Target Return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0.055,0.0533871,0.0317097,-0.0256361,-0.019343,0.0248389,0.0300584,0.0321249,0.0473428,-0.0158238,-0.0274526,0.0513663,0.0129868,-0.00197892,0.0350218,0.0521837,-0.0138453,-0.0281394,0.00640958,-0.0191481,0.074298,-0.0367869,-0.0441638,-0.0797072,0.0252107,-0.00889034,0.030988,-0.00702428,-0.0239411,0.0150175,0.00303393,0.014576,-0.00162248,0.0360272,-0.00816035,0.0211816,-0.0225922,0.0200242,0.0403383,0.0442352,-0.00412751,0.0294827,0.0422317,-0.00178778,0.03921,0.00449011,-0.00559415,-0.0575042,-0.00304209,0.0871504,0.073923
0.06,0.0580282,0.0341929,-0.0293511,-0.0183726,0.02693,0.0200356,0.0347745,0.0513945,-0.0177193,-0.0306741,0.0556488,0.0134826,-0.00270813,0.0382015,0.0550315,-0.0148175,-0.0304274,0.0077105,-0.0231714,0.0816009,-0.0328318,-0.0471963,-0.0878281,0.0204349,-0.00919115,0.0337044,-0.00814067,-0.025885,0.0161757,0.00254863,0.0160353,-0.00167317,0.0368336,0.00390739,0.0226061,-0.0250447,0.0221515,0.0285972,0.0463023,-0.00436347,0.0320959,0.0464875,-0.00236441,0.0429226,0.00537529,-0.00603629,-0.0627954,-0.00363988,0.0949371,0.0798968
0.065,0.0634019,0.0366762,-0.0327371,-0.0200105,0.0280642,0.0222259,0.0380194,0.0534741,-0.0196154,-0.0338966,0.0599313,0.0139758,-0.00344234,0.0413693,0.0793983,-0.0157894,-0.0327144,0.00487615,-0.0255737,0.0875282,-0.0334345,-0.0516628,-0.0959494,0.0221907,-0.00898068,0.0364213,-0.00926207,-0.0278307,0.0173373,0.00206206,0.0174935,-0.00379003,0.0402484,0.00638976,0.0225166,-0.0274984,0.0230323,0.0301736,0.0502449,-0.00459796,0.0347097,0.0507432,-0.00294096,0.0466342,0.0190951,-0.00682283,-0.0680844,-0.0042394,0.102723,0.0801118
0.07,0.0681121,0.039513,-0.0355629,-0.0216476,0.0357085,0.0244169,0.0406816,0.0571591,-0.0215118,-0.0431009,0.0642138,0.0144668,-0.00418069,0.0360676,0.0862364,-0.016761,-0.0322638,0.00588855,-0.027974,0.0839651,-0.0269242,-0.0561292,-0.107217,0.0165586,-0.00932025,0.0391379,-0.0190564,-0.0297779,0.0184983,0.00534865,0.0189508,-0.00432609,0.0436622,0.00692339,0.02935,-0.0299528,0.0251367,0.0318038,0.0541951,-0.00483141,0.037324,0.054999,-0.00351743,0.0357439,0.021011,-0.00734442,-0.083938,-0.00484024,0.110509,0.0856792
0.075,0.0728224,0.0420152,-0.0388708,-0.0232856,0.0378261,0.0266077,0.0433433,0.0608358,-0.0234086,-0.0466773,0.0904035,0.0136686,-0.00492251,0.0389106,0.0927964,-0.0205206,-0.0351025,0.00690081,-0.0522337,0.0904134,-0.0103522,-0.0605949,-0.116114,0.0177809,-0.0070302,0.0359536,-0.0207681,-0.0317262,0.0196577,0.0051674,0.0207156,-0.00475692,0.0470756,0.00745791,0.0251696,-0.0354265,0.0305064,0.0334825,0.0671615,-0.00276551,0.0399388,0.0592549,-0.00409385,0.0384622,0.0229272,-0.0078648,-0.0900863,-0.0054421,0.118294,0.0912422
0.08,0.0775328,0.0445174,-0.0478977,-0.0249236,0.0399456,0.0287987,0.0393066,0.0548574,-0.0319559,-0.0502536,0.0962959,0.0141974,-0.00566723,0.0418177,0.0991336,-0.0216585,-0.0372466,0.00791293,-0.0559929,0.0809618,0.0270042,-0.0650606,-0.123899,0.0191639,-0.00717594,0.0379053,-0.0224771,-0.0459549,0.0158314,0.00227675,0.0221243,-0.00518227,0.0504891,0.0079914,0.0264699,-0.0380632,0.0328298,0.0345054,0.0717337,-0.00289142,0.0470507,0.067609,-0.00672226,0.0411798,0.0248437,-0.00838418,-0.0962342,-0.00970951,0.126079,0.0944821
0.085,0.0822432,0.0470196,-0.0561181,-0.0231503,0.0420668,0.0309897,0.0416333,0.0579523,-0.0342111,-0.0538299,0.102187,0.0147273,0.00353239,0.0447908,0.085819,-0.0227965,-0.0385751,0.00892495,-0.0597523,0.0862961,0.0300236,-0.0700454,-0.13289,0.0119945,-0.00731362,0.0404195,-0.0241851,-0.0486078,0.0166985,0.00198621,0.0216301,-0.0158846,0.0539023,0.0182265,0.0345325,-0.0407331,0.035153,0.0345593,0.0763127,-0.00301794,0.0498915,0.0721253,0.00055618,0.043897,0.0267603,-0.00890273,-0.104435,-0.0105146,0.144374,0.102358
0.09,0.091604,0.0495217,-0.0601003,-0.0245682,0.0441902,0.0331809,0.0388642,0.0610487,-0.0422981,-0.0574061,0.108078,0.0237699,0.00321446,0.0478283,0.11128,-0.0239347,-0.0415344,0.00993687,-0.0635119,0.091629,0.034045,-0.0747258,-0.141243,0.0127638,-0.0074661,0.0429044,-0.0402225,-0.0512618,0.0131903,0.00169428,0.0228573,-0.0060299,0.0620608,0.0194044,0.0362598,-0.0433771,0.0266424,0.0361551,0.0808843,-0.00314437,0.0561053,0.0766408,0.000239779,0.0466138,0.0286771,-0.00942059,-0.110729,-0.0113195,0.152787,0.107912
0.095,0.0965915,0.0520242,-0.0640824,-0.025986,0.0463143,0.0353708,0.0409019,0.0641467,-0.0450312,-0.0656297,0.113968,0.0247253,0.00289715,0.0509263,0.116933,-0.0176528,-0.0427832,0.0109487,-0.107634,0.0969495,0.0436666,-0.0790941,-0.156252,-0.00524338,-0.00398871,0.0454066,-0.0316888,-0.0726233,0.0138975,0.00140257,0.0240845,-0.0175893,0.0657691,0.0205823,0.0379873,-0.0460213,0.0283623,0.037798,0.0854583,-0.00326988,0.0590998,0.0811559,-7.64982e-05,0.0493302,0.0442551,0.0053962,-0.117019,-0.0121245,0.161201,0.113464
0.1,0.101579,0.0333528,-0.0776948,-0.0274038,0.0484402,0.0375611,0.0429395,0.0672464,-0.0508044,-0.0794803,0.142863,0.0256803,0.00258042,0.054079,0.12261,-0.0262115,-0.0448874,-0.0083542,-0.113541,0.102277,0.0416017,-0.0839508,-0.164923,-0.00550542,-0.00404608,0.0478998,-0.0335863,-0.0763198,0.0146068,0.00111023,0.0217509,-0.0134487,0.0694773,0.02176,0.0397148,-0.0486656,0.030082,0.039456,0.0900322,-0.00339625,0.0620945,0.0950643,-0.000392867,0.0520464,0.0469074,0.00562935,-0.123312,-0.0120715,0.182267,0.11556
