Target Return,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0.055,0.0209154,-0.21337,-0.257125,-0.161983,-0.184228,-0.00977504,-0.497077,0.598208,-0.146172,-0.135704,0.503472,-0.0552438,0.00501042,-0.193501,-0.287704,-0.263247,-0.303803,-0.286707,0.263024,0.291266,-0.159581,-0.149169,-0.345804,-0.553544,0.356015,-0.0170958,0.0661398,-0.371184,0.326531,0.301538,-0.147846,-0.75812,0.105083,-0.180588,0.520968,0.589879,-0.255081,-0.316215,0.533227,0.00544331,-0.128247,0.04098,0.296695,-0.360721,-0.337882,0.0420337,-0.0318403,0.226349,-0.0965003,-0.434968
0.06,-0.591553,0.0594235,-0.0693533,0.188213,-0.391818,-0.460336,2.69051e-05,-0.300027,-0.0586968,-0.134126,-0.0406497,-0.0986565,0.0323886,-0.284278,-0.068729,0.347604,0.282575,-0.17526,0.144025,0.207225,-0.187564,0.400918,-0.171135,-0.310355,-0.465464,-0.257394,0.585365,0.236436,0.622111,-0.343743,-0.020254,-0.705282,0.0914402,0.184971,0.0318712,0.00889674,0.0221079,0.176461,-0.312191,-0.315088,-0.398867,-0.165109,-0.00180429,0.589629,0.117495,-0.324104,-0.342176,0.465304,0.159273,-0.0720928
0.065,-0.00557037,0.154084,0.0166917,-0.798125,-0.130579,0.208251,0.206204,-0.288523,-0.324534,-0.313611,-0.0558954,0.0891994,-0.171309,-0.218448,-0.203343,-0.116609,-0.148839,-0.118276,0.0269399,-0.248833,-0.145883,0.0521506,-0.113461,-0.717429,0.714668,0.19998,-0.778588,0.606487,0.524052,-0.30645,0.13932,-0.20749,-0.247206,-0.258258,-0.217165,0.112099,0.324946,0.518009,-0.223356,-0.264164,-0.560728,0.147193,0.0139523,0.185497,-0.395973,0.186071,0.41177,-0.147223,-0.348732,-0.117353
0.07,0.17447,0.203779,0.570948,-0.314901,-0.196144,0.294644,0.245985,-0.0288761,-0.140416,0.413373,-0.341858,-0.0153213,-0.200854,-0.445009,0.418279,0.187211,-0.33907,-0.6629,0.0787991,0.0661339,0.0231691,-0.346253,-0.39136,0.00413251,-0.162928,-0.125885,0.00913758,-0.215557,-0.184205,-0.220504,-0.0839295,0.0744309,-0.434546,0.674106,-0.141517,-0.105517,0.617895,-0.00274718,-0.0255953,-0.105239,-0.13501,-0.281248,-0.356815,-0.247371,0.258812,0.356894,-0.171274,-0.0801768,-0.309124,-0.39386
0.075,0.422982,0.166733,0.230006,-0.27226,0.341235,0.419367,-0.0297173,-0.411013,0.355399,-0.196209,0.435338,0.656643,-0.202413,-0.207446,0.618661,0.112332,-0.0697565,0.0985788,0.546898,-0.3393,-0.293169,0.0221535,0.0521137,0.291202,-0.075864,-0.38986,-0.601937,0.110286,-0.037733,0.23237,-0.393633,-0.387593,-0.0403018,-0.230074,-0.0398087,-0.145948,-0.175805,-0.0977911,-0.000966496,-0.337052,0.0305916,0.347064,0.395438,-0.164618,0.225114,0.18307,-0.169823,0.29149,-0.0215095,-0.223726
0.08,-0.457937,-0.121992,0.542473,0.271657,0.472501,-0.306931,-0.0694514,-0.711968,0.416964,0.354146,0.173062,0.0769228,0.0458628,0.217599,-0.172698,-0.21709,-0.273367,-0.0589404,-0.0486934,0.57037,0.197732,-0.267401,-0.408163,0.707299,0.261239,-0.0761431,0.0455503,0.245252,0.122382,-0.575979,-0.151471,0.134382,0.183918,-0.235631,-0.160654,-0.240826,0.111136,0.139208,-0.091584,-0.171323,-0.200017,-0.0872235,-0.0938876,-0.106472,0.0322269,-0.233392,-0.0410747,-0.0362602,-0.0879363,-0.446789
0.085,0.743634,0.260292,-0.722638,0.67279,0.56715,-0.271166,0.15015,-0.144841,-0.202279,-0.21847,-0.162879,0.137657,0.434058,0.345842,-0.175233,-0.26007,-0.474752,0.275438,0.107085,0.201365,-0.482763,0.172582,0.524504,0.000700253,-0.131092,-0.0317457,0.170457,0.192219,0.532085,-0.444548,-0.0915113,0.256472,0.395968,0.04712,-0.174614,0.431146,-0.283764,0.0363603,-0.0915302,-0.397948,0.414765,0.203554,-0.380285,-0.511206,0.212523,0.0697864,0.183503,-0.23555,-0.367797,0.0188145
0.09,-0.163943,-0.11952,0.0373196,-0.24972,-0.190325,-0.159236,-0.134656,0.0476049,-0.297705,0.670442,-0.0746531,-0.07938,0.596631,-0.00396802,-0.0325375,-0.0138743,-0.098744,-0.233909,-0.264443,-0.0552582,0.329041,0.242479,-0.218868,-0.0397818,-0.343591,-0.158182,0.590552,0.112563,0.150505,-0.299246,0.336822,0.506176,0.130465,-0.426094,0.484654,-0.233081,0.59154,0.559513,-0.213659,-0.137468,0.63859,0.163623,0.0400993,0.0942639,0.61946,-0.257755,-0.252784,0.00389899,-0.0165938,0.206019
0.095,-0.0583393,-0.297665,-0.545216,0.216459,0.0794248,0.328338,-0.442121,-0.317198,-0.0287618,-0.166631,0.0803282,-0.132747,-0.128754,-0.0194517,0.0860123,-0.312531,0.142448,0.390102,0.430541,-0.130966,0.289301,0.146519,-0.125787,0.288189,0.0756472,-0.186108,-0.50219,-0.157845,0.542769,0.288272,0.349629,-0.243183,-0.000153354,-0.647029,0.386889,0.328302,0.178276,-0.0240561,0.0421561,0.180882,0.0146984,-0.0473221,-0.281098,0.0991126,-0.1079,0.606238,0.123324,-0.245956,-0.334082,0.680253
0.1,0.228335,-0.0286113,-0.0509004,0.418789,0.15768,-0.564763,-0.196447,0.0564265,0.263272,-0.221381,-0.169583,-0.257049,0.158817,0.221994,-0.00321531,-0.159749,-0.0995271,-0.10161,-0.0531378,-0.0511848,0.0799374,-0.206879,-0.0366846,0.0219652,-0.0195782,-0.292623,0.802734,0.311737,-0.650075,0.608392,0.543173,-0.253881,0.159064,-0.161672,-0.186532,-0.211269,-0.180983,0.134154,0.346712,0.237113,-0.121985,-0.303482,-0.433177,0.361632,0.136145,0.267006,-0.536084,0.185051,0.48861,0.0146878
